model,cell,regime,n,correct,compliance,competence,completed_rate,final_correct_rate,mag_correct_rate,sign_given_mag_rate,extract_issues
qwen25-72b-api,dflt,all,50,4,1,45,0.8800,0.0800,0.1000,0.8000,22
qwen25-72b-api,dflt,control,24,0,1,23,0.8333,0.0000,0.0417,0.0000,11
qwen25-72b-api,dflt,trap,26,4,0,22,0.9231,0.1538,0.1538,1.0000,11
qwen3-8b-nothink,cw,all,181,0,12,169,0.8729,0.0000,0.0663,0.0000,22
qwen3-8b-nothink,cw,control,90,0,4,86,0.8444,0.0000,0.0444,0.0000,13
qwen3-8b-nothink,cw,trap,91,0,8,83,0.9011,0.0000,0.0879,0.0000,9
qwen3-8b-nothink,dflt,all,182,6,1,175,0.8736,0.0330,0.0385,0.8571,24
qwen3-8b-nothink,dflt,control,86,2,0,84,0.8721,0.0233,0.0233,1.0000,11
qwen3-8b-nothink,dflt,trap,96,4,1,91,0.8750,0.0417,0.0521,0.8000,13
qwen3-8b-nothink,inw,all,184,8,3,173,0.8207,0.0435,0.0598,0.7273,33
qwen3-8b-nothink,inw,control,94,3,1,90,0.8085,0.0319,0.0426,0.7500,19
qwen3-8b-nothink,inw,trap,90,5,2,83,0.8333,0.0556,0.0778,0.7143,14
qwen3-8b-nothink,wrk,all,185,8,4,173,0.8324,0.0432,0.0649,0.6667,33
qwen3-8b-nothink,wrk,control,92,3,2,87,0.8370,0.0326,0.0543,0.6000,15
qwen3-8b-nothink,wrk,trap,93,5,2,86,0.8280,0.0538,0.0753,0.7143,18
